source_season,depth_source_format,season,week,game_type,dt,depth_timestamp,team,player_name,espn_id,gsis_id,roster_position,pos_grp_id,pos_grp,pos_id,pos_name,pos_abb,pos_slot,pos_rank,data_split
2020,legacy_weekly,2020,1,REG,,,ARI,Zach Allen,,00-0035248,DE,,Defense,,DT,DT,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Joshua Miles,,00-0035317,T,,Offense,,LT,LT,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Andy Isabella,,00-0035527,WR,,Offense,,WR,WR,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Andy Isabella,,00-0035527,WR,,Special Teams,,KOR,KOR,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Andy Isabella,,00-0035527,WR,,Special Teams,,PR,PR,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Deionte Thompson,,00-0035532,SS,,Defense,,S,S,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Lamont Gaillard,,00-0035536,C,,Offense,,C,C,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Jalen Thompson,,00-0035705,FS,,Defense,,S,S,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Chris Streveler,,00-0035752,QB,,Offense,,QB,QB,,3,training
2020,legacy_weekly,2020,1,REG,,,ARI,Isaiah Simmons,,00-0036356,MLB,,Defense,,ILB,ILB,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Josh Jones,,00-0036363,G,,Offense,,LT,LT,,3,training
2020,legacy_weekly,2020,1,REG,,,ARI,Leki Fotu,,00-0036371,NT,,Defense,,DT,DT,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Rashard Lawrence,,00-0036373,NT,,Defense,,NT,NT,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Eno Benjamin,,00-0036383,RB,,Offense,,RB,RB,,3,training
2020,legacy_weekly,2020,1,REG,,,ATL,Matt Schaub,,00-0022787,QB,,Offense,,QB,QB,,2,training
2020,legacy_weekly,2020,1,REG,,,ATL,Matt Ryan,,00-0026143,QB,,Offense,,QB,QB,,1,training
2020,legacy_weekly,2020,1,REG,,,ATL,Alex Mack,,00-0026997,C,,Offense,,C,C,,1,training
2020,legacy_weekly,2020,1,REG,,,ATL,Julio Jones,,00-0027944,WR,,Offense,,WR,WR,,1,training
2020,legacy_weekly,2020,1,REG,,,ATL,James Carpenter,,00-0027963,G,,Offense,,LG,LG,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Andy Lee,,00-0022824,P,,Special Teams,,H,H,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Andy Lee,,00-0022824,P,,Special Teams,,P,P,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Matt Prater,,00-0023853,K,,Special Teams,,K,K,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Matt Prater,,00-0023853,K,,Special Teams,,KO,KO,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Corey Peters,,00-0027686,DT,,Defense,,NT,NT,,2,training
2021,legacy_weekly,2021,1,REG,,,ARI,Colt McCoy,,00-0027688,QB,,Offense,,QB,QB,,2,training
2021,legacy_weekly,2021,1,REG,,,ARI,A.J. Green,,00-0027942,WR,,Offense,,WR,WR,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,J.J. Watt,,00-0027949,DE,,Defense,,DE,DE,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Rodney Hudson,,00-0027993,C,,Offense,,C,C,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Aaron Brewer,,00-0028946,LS,,Special Teams,,LS,LS,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Kelvin Beachum,,00-0029316,T,,Offense,,RT,RT,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Chandler Jones,,00-0029585,DE,,Defense,,OLB,OLB,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Brian Winters,,00-0030066,G,,Offense,,RG,RG,,2,training
2021,legacy_weekly,2021,1,REG,,,ARI,Demetrius Harris,,00-0030155,TE,,Offense,,TE,TE,,2,training
2021,legacy_weekly,2021,1,REG,,,ARI,Robert Alford,,00-0030528,CB,,Defense,,CB,CB,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,DeAndre Hopkins,,00-0030564,WR,,Offense,,WR,WR,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Devon Kennard,,00-0031241,OLB,,Defense,,OLB,OLB,,2,training
2021,legacy_weekly,2021,1,REG,,,ARI,Maxx Williams,,00-0031558,TE,,Offense,,TE,TE,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Markus Golden,,00-0032127,OLB,,Defense,,OLB,OLB,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Jordan Hicks,,00-0032129,ILB,,Defense,,ILB,ILB,,2,training
2021,legacy_weekly,2021,1,REG,,,ARI,Max Garcia,,00-0032132,G,,Offense,,C,C,,2,training
2021,legacy_weekly,2021,1,REG,,,ARI,D.J. Humphries,,00-0032222,T,,Offense,,LT,LT,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Justin Murray,,00-0032528,T,,Offense,,RT,RT,,2,training
2021,legacy_weekly,2021,1,REG,,,ARI,Charles Washington,,00-0032560,FS,,Defense,,S,S,,2,training
2021,legacy_weekly,2021,1,REG,,,ARI,Darrell Daniels,,00-0033258,TE,,Offense,,TE,TE,,3,training
2021,legacy_weekly,2021,1,REG,,,ARI,James Conner,,00-0033553,RB,,Offense,,RB,RB,,2,training
2021,legacy_weekly,2021,1,REG,,,ARI,Tanner Vallejo,,00-0033580,ILB,,Defense,,ILB,ILB,,2,training
2021,legacy_weekly,2021,1,REG,,,ARI,Budda Baker,,00-0033890,SS,,Defense,,S,S,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Ezekiel Turner,,00-0034490,ILB,,Defense,,ILB,ILB,,3,training
2021,legacy_weekly,2021,1,REG,,,ARI,Chase Edmonds,,00-0034681,RB,,Offense,,RB,RB,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Christian Kirk,,00-0034775,WR,,Offense,,WR,WR,,1,training
2021,legacy_weekly,2021,1,REG,,,ARI,Christian Kirk,,00-0034775,WR,,Special Teams,,PR,PR,,1,training
